<<<ID=1782>>>	Скоро будет добавлено объяснение ...
<<<ID=1065>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 47-ე მუხლის მე-11 პუნქტის „ა“, „ბ“ და „გ“ ქვეპუნქტების თანახმად, სატრანსპორტო საშუალებაზე ნებისმიერი ტვირთი იმგვარად უნდა მოთავსდეს და აუცილებლობის შემთხვევაში დამაგრდეს, რომ მისი გადაზიდვისას: ა) საფრთხე არ შეექმნას სხვა საგზაო მოძრაობის მონაწილეებს, ზიანი არ მიადგეს სახელმწიფო, საზოგადოებრივ და კერძო ქონებას, ტვირთი არ ეთრეოდეს და არ ცვიოდეს გზაზე; ბ) არ შეიზღუდოს ხილვადობა და ხედვის არე, არ დაირღვეს სატრანსპორტო საშუალების მდგრადობა და არ გაძნელდეს მისი მართვა; გ) არ დაიფაროს სატრანსპორტო საშუალების სინათლეები, „სდექ“ სიგნალი, მოხვევის შუქ-მაჩვენებლები, შუქამრეკლი მოწყობილობები, რეგისტრაციის ნომერი და მარეგისტრირებელი სახელმწიფოს განმასხვავებელი ნიშანი, აგრეთვე ამ კანონით განსაზღვრული ხელით მისაცემი სიგნალები;
<<<ID=256>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის 1.1, 1.2 და 1.41- 1.46 პუნქტების თანახმად, საგზაო ნიშანი: 1.1. „რკინიგზის შლაგბაუმიანი გადასასვლელი“ − იძლევა გაფრთხილებას რკინიგზის შლაგბაუმიან გადასასვლელთან მიახლოების თაობაზე. 1.2. „რკინიგზის უშლაგბაუმო გადასასვლელი“−იძლევა გაფრთხილებას რკინიგზის უშლაგბაუმო გადასასვლელთან მიახლოების თაობაზე. 1.4.1–1.4.6. „რკინიგზის გადასასვლელთან მიახლოება“ − დამატებით აფრთხილებს მძღოლს დაუსახლებელ პუნქტში რკინიგზის გადასასვლელთან მიახლოების თაობაზე. ამავე დანართის პირველი თავის შენიშვნის „ა“ და „ვ“ ქვეპუნქტების თანახმად: ა) ნიშნები 1.1, 1.2, 1.5–1.34 ნიშნები დაუსახლებელ პუნქტში იდგმება სახიფათო მონაკვეთის დასაწყისამდე 150−300 მეტრ მანძილზე, დასახლებულ პუნქტში – 50–100 მეტრ მანძილზე. აუცილებლობისას ნიშნები იდგმება სხვა მანძილზედაც, რომელიც მითითებულია 8.1.1 დაფაზე; ვ) ნიშნები 1.4.1−1.4.3 ნიშნები იდგმება გზის მარჯვენა მხარეს, ხოლო 1.4.4−1.4.6 ნიშნები − გზის მარცხენა მხარეს. 1.4.1 და 1.4.4 ნიშნები იდგმება მოძრაობის მიმართულებით ძირითად და განმეორებით 1.1 ან 1.2 ნიშანთან ერთად, 1.4.3 და1.4.6 ნიშნები − მოძრაობის მიმართულებით განმეორებით 1.1 ან 1.2 ნიშანთან ერთად, ხოლო 1.4.2 და 1.4.5 ნიშნები − დამოუკიდებლად, თანაბარ დაშორებაზე ძირითად და განმეორებით 1.1 ან 1.2 ნიშანს შორის.
<<<ID=126>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-3 პუნქტის „ა“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე, შუქნიშნის მწვანე სიგნალის ჩართვის დროს მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის მოძრავი ტრამვაის მძღოლებმაც.
<<<ID=21>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-2 პუნქტის “ა“ ქვეპუნქტის თანახმად, ქვეითთა გადასასვლელზე ამ კანონის 21-ე მუხლის მე-6 პუნქტით, 33-ე მუხლის მე-2 პუნქტითა და 34-ე მუხლის მე-11 პუნქტით დადგენილ მოთხოვნათა დაცვით უნდა შესრულდეს შემდეგი მოთხოვნები: ა) თუ სატრანსპორტო საშუალებათა მოძრაობა საგზაო შუქნიშნით ან მარეგულირებლის მეშვეობით რეგულირდება, მოძრაობის ამკრძალავი სიგნალის დროს მძღოლი უნდა გაჩერდეს ქვეითთა გადასასვლელის წინ ან მის წინ მდებარე განივ მონიშვნასთან, ხოლო როცა მოძრაობის გაგრძელების უფლებას მიიღებს, არ უნდა დააბრკოლოს და საფრთხე არ უნდა შეუქმნას ქვეითთა გადასასვლელზე შესულ ქვეითებს. თუ მძღოლი ასრულებს მოხვევას სხვა გზაზე შესასვლელად, რომლის შესასვლელთანაც მდებარეობს ქვეითთა გადასასვლელი, მან ეს მოხვევა უნდა შეასრულოს მხოლოდ დაბალი სიჩქარით, ხოლო საჭიროების შემთხვევაში უნდა გაჩერდეს და გაატაროს გადასასვლელზე შესული ან შემავალი ქვეითები; ამავე კანონის 51-ე მუხლის მე-2 პუნქტის თანახმად, საგზაო მოძრაობის მონაწილეები ვალდებულნი არიან, ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მოახლოებისას, რომელსაც ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი ან/და რომელიც ხმამაღლამოლაპარაკე ხელსაწყოთი იძლევა სიგნალს, მას, აგრეთვე მის მიერ გასაცილებელ სატრანსპორტო საშუალებას, რომლსაც ჩართული აქვთ ახლო ნათების ფარები, გაუნთავისუფლონ სავალ ნაწილზე ადგილი, ხოლო აუცილებლობის შემთხვევაში - გაჩერდნენ.
<<<ID=1748>>>	Объяснение будет добавлено в ближайшее время...
<<<ID=785>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.13.1, 5.13.2 პუნქტების თანახმად, საგზაო ნიშნები 5.13,1, 5.13.2 „სამარშრუტო სატრანსპორტო საშუალებისათვის განკუთვნილი მოძრაობის ზოლის მქონე გზაზე გასვლა“ - მიუთითებს 5.11 ნიშნით აღნიშულ გზაზე გასვლას. ნიშნები იდგმება ყველა გვერდითი შესასვლელის წინ. ნიშანი შეიძლება არა დაიდგას მიმდებარე ტერიტორიებიდან გამოსასვლელების გზასთან გადაკვეთებზე, თუ ამ ტერიტორიაზე შესვლა შესაძლებელია მხოლოდ 5.11 ნიშნით აღნიშნული გზიდან.
<<<ID=339>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 37-ე მუხლის პირველი პუნქტის თანახმად, სატრანსპორტო საშუალება, რომელიც ჩერდება ან დგას დაუსახლებელ პუნქტში, შესაძლებლობის ფარგლებში, სავალი ნაწილის გარეთ უნდა იმყოფებოდეს. ამავე მუხლის მე-3 პუნქტის თანახმად, სავალი ნაწილის შუაში სატრანსპორტო საშუალების გაჩერება და დგომა ნებადართულია მხოლოდ შესაბამისი საგზაო ნიშნით ან საგზაო მონიშვნით განსაზღვრულ ადგილებში.
<<<ID=423>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 39-ე მუხლის პირველი პუნქტის “გ“ ქვეპუნქტის თანახმად, მარეგულირებლის ან შუქნიშნის ამკრძალავი სიგნალის დროს არცერთი საგზაო მოძრაობის მონაწილე არ უნდა შევიდეს რკინიგზის გადასასვლელზე, მიუხედავად შლაგბაუმის ან ნახევარშლაგბაუმის მდგომარეობისა ან მისი არსებობისა. ამავე მუხლის მე-3 პუნქტის თანახმად თუ რკინიგზის გადასასვლელზე მოძრაობა აკრძა¬ლუ¬ლია, მძღოლი ჩერდება „სდექ“ ხაზთან, 2.4 საგზაო ნიშანთან ან შუქნიშანთან, ხოლო მათი არარსებობისას – შლაგბაუმიდან ან ნახევარშლაგბაუმიდან არანაკლებ 5 მეტრისა. თუ არ არის არც შლაგბაუმი და არც ნახევარშლაგბაუმი, მძღოლი უნდა გაჩერდეს უახლოეს რელსამდე არანაკლებ 10 მეტრისა.
<<<ID=588>>>	Перемещение пострадавшего перетаскиванием без помощника при подозрении на повреждение шеи или позвоночника, если его жизни угрожает опасность, должно производиться следующим образом: посадите пострадавшего в сидячее положение, встаньте за спиной пострадавшего, просуньте руки под плечи, зафиксируйте нижнюю челюсть и шею и таким образом перетаскиванием переместите назад.
<<<ID=1746>>>	Объяснение будет добавлено в ближайшее время...
<<<ID=1249>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის მე-2 დანართის პირველი თავის (ჰორიზონტალური მონიშვნა) 1.11 პუნქტის თანახმად, საგზაო მონიშვნა 1.5. ყოფს საპირისპირო მიმართულებით მოძრავ სატრანსპორტო ნაკადებს გზაზე, რომელსაც მოძრაობის ორი ან სამი ზოლი აქვს; აღნიშნავს მოძრაობის ზოლის საზღვარს ერთი მიმართულებით მოძრაობისათვის განკუთვნილი ორი ან ორზე მეტი ზოლის არსებობისას. 1.5 ხაზის გადაკვეთა ნებადართულია ნებისმიერი მხრიდან.
<<<ID=1286>>>	დღის ნათელ დროს, შემხვედრი სატრანსპორტო საშუალების სიჩქარეს, ადამიანის თვალი განსაზღვრავს სივრცეში არსებულ სხვა ორიენტირებთან შედარებით (საგზაო ნიშნები, მონიშვნა, გზისპირზე გამწვანება და სხვა), ხოლო დღე-ღამის ბნელ დროს და არასაკმარისი ხილვადობის პირობებში ორიენტირება ხდება მხოლოდ ფარების შუქზე, ამიტომ შემხვედრი სატრანსპორტო საშუალების სიჩქარეს აღვიქვამთ უფრო ნაკლებად, ვიდრე რეალურადაა.
<<<ID=224>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 33-ე მუხლის მე-6 პუნქტის თანახმად, თუ ამ კანონით სხვა რამ არ არის დადგენილი, დასახლებულ პუნქტში ნებადართულია სატრანსპორტო საშუალების მოძრაობა არაუმეტეს 60 კმ/სთ სიჩქარით, ხოლო საცხოვრებელ ზონაში − არაუმეტეს 20 კმ/სთ სიჩქარით. თუ დასახლებულ პუნქტში საგზაო პირობები იძლევა მაღალი სიჩქარით მოძრაობის შესაძლებლობას, შესაბამისი საგზაო ნიშნის დადგმით მოძრაობის სიჩქარე შეიძლება გაიზარდოს გზის ცალკეულ მონაკვეთებზე. ამავე კანონის პირველი დანართის 4.6 პუნქტის თანახმად საგზაო ნიშანი 4.6. „მინიმალური სიჩქარის შეზღუდვა“ − ადგენს გზაზე მოძრაობის მინიმალური სიჩქარის ზღვარს. ნიშნის მოქმედება ვრცელდება ნიშნის შემდეგ, ნიშნის დადგმის ადგილიდან უახლოეს გზაჯვარედინამდე, ხოლო დასახლებულ პუნქტში გზაჯვარედინის არარსებობისას − დასახლებული პუნქტის ბოლომდე.
<<<ID=780>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.8 პუნქტის თანახმად, საგზაო ნიშანი 5.8 „რევერსული მოძრაობა“ – გზის მონაკვეთის დასაწყისი, სადაც ერთ ან რამდენიმე ზოლზე მოძრაობის მიმართულება შეიძლება საპირისპიროდ შეიცვალოს.
<<<ID=905>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 5-ე მუხლის 52-ე პუნქტის თანახმად, „ნებადართული მაქსიმალური მასა“ (დასაშვები წონა) - დატვირთული სატრანსპორტო საშუალების მაქსიმალური მასა, რომელიც დასაშვებად არის გამოცხადებული იმ სახელმწიფოს კომპეტენტური ორგანოს მიერ, რომელშიც დარეგისტრირებულია სატრანსპორტო საშუალება.
<<<ID=833>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „გ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები - ღამე, ცუდად განათებული ან არათანაბრად განათებული გზის მონაკვეთებზე მოძრაობისას გართულებულია საგზაო მოძრაობის მონაწილეთა მიერ ერთმანეთის შემჩნევა.
<<<ID=665>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის მე-2 თავის (პრიორიტეტის ნიშანი) 2.5 პუნქტების თანახმად საგზაო ნიშანი 2.5 „შემხვედრი მოძრაობის უპირატესობა”- უკრძალავს მძღოლს გზის ვიწრო მონაკვეთზე შესვლას, თუ ეს აძნელებს საპირისპირო მიმართულებით მოძრაობას. მძღოლი ვალდებულია გზა დაუთმოს შემხვედრ სატრან¬სპორტო საშუალებას, რომელიც მოპირდაპირე მისასვლელთან ან გზის ვიწრო მონაკვეთზე იმყოფება.
<<<ID=276>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 34-ე მუხლის პირველი პუნქტის თანახმად, გასწრება უნდა განხორციელდეს მარცხენა მხრიდან. მარჯვენა მხრიდან გასწრება ნებადართულია იმ შემთხვევაში, თუ მძღოლმა, რომელსაც უსწრებენ, მისცა სიგნალი, რომ მარცხნივ მოხვევას აპირებს, და თავისი სატრანსპორტო საშუალება ისე მიმართა, რომ შეუხვიოს სხვა გზაზე ან შევიდეს გზის მიმდებარე ტერიტორიაზე ან გაჩერდეს ამ მხარეს. ამავე კანონის 31-ე მუხლის მე-11 პუნქტის თანახმად, დაუსახლებელ პუნქტში, აგრეთვე დასახლებულ პუნქტში გზის სავალი ნაწილის იმ მონაკვეთზე, რომელზედაც მოძრაობა ნებადართულია 80 კმ/სთ-ზე მეტი სიჩქარით, მძღოლმა უნდა იმოძრაოს სავალი ნაწილის მარჯვენა კიდესთან რაც შეიძლება ახლოს. აკრძალულია მარცხენა ზოლის დაკავება, როცა მარჯვენა ზოლი თავისუფალია, გარდა დაბრკოლების შემოვლის, მარცხნივ მოხვევის ან მობრუნების შემთხვევისა. ამავე კანონის პირველი დანართის მე-5 თავის (განსაკუთრებული მითითებების ნიშნები) 5.25 პუნქტის თანახმად, საგზაო ნიშანი 5.25 „დასახლებული პუნქტის დასაწყისი“ - მიუთითებს იმ დასახლებული პუნქტის დასაწყისს, რომელშიც არ მოქმედებს დასახლებულ პუნქტებში მოძრაობისათვის დადგენილი წესები.
<<<ID=1>>>	При пересечении дорог равной стоимости водитель нерельсового транспортного средства обязан уступить дорогу транспортному средству, приближающемуся справа. Водители межрельсового транспорта также должны соблюдать такие же правила. На таком перекрестке железнодорожное транспортное средство имеет приоритет перед нерельсовым транспортным средством независимо от направления его движения.
<<<ID=1055>>>	მძღოლის ემოციური მდგომარეობაზე გავლენას ახდენს მოძრაობის უსაფრთხოებაზე.
<<<ID=80>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ და „დ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; დ) მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც.
<<<ID=171>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25 მუხლის მე-3 პუნქტის თანახმად, ამ კანონის მე-20 მუხლის მე-2 პუნქტითა და 34-ე მუხლის მე-11 პუნქტით დადგენილ მოთხოვნათა დაცვით, გზის სავალ ნაწილზე შესაბამისი საგზაო მონიშვნით, საგზაო ნიშნით ან შუქნიშნით აღნიშნული ქვეითთა გადასასვლელის არარსებობისას მძღოლი, რომელიც სხვა გზაზე შესასვლელად მოხვევას ასრულებს, ვალდებულია გზა დაუთმოს ამ გზის სავალ ნაწილზე შესულ ქვეითებს. მან უნდა გამოიჩინოს განსაკუთრებული სიფრთხილე იმ ქვეითების მიმართ, რომლებიც გზის სავალ ნაწილზე გადადიან სამარშრუტო სატრანსპორტო საშუალებაში ჩასასხდომად ან იქიდან გადმოსხდომის შემდეგ.
<<<ID=540>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 33-ე მუხლის მე-8 პუნქტის „დ“ ქვეპუნქტის თანახმად, თუ ამ კანონით სხვა რამ არ არის დადგენილი, დასახლებულ ან დაუსახლებელ პუნქტში ნებადართულია იმ მექანიკური სატრანსპორტო საშუალების მოძრაობა, რომელიც ახორციელებს სხვა მექანიკური სატრანსპორტო საშუალების ბუქსირებას, არაუმეტეს 50 კმ/სთ სიჩქარით.
<<<ID=1280>>>	Для удаления инородного тела из дыхательных путей пострадавшего в результате ДТП необходимо несколько раз ударить ладонью по спине, при отрицательном результате встать за пострадавшим, на уровне нижнего ребра у живота сцепить руки в кулак, одновременно надавить на ребра и резко нажать кулаками в область живота внутрь и вверх.
<<<ID=866>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-10 პუნქტის „ზ“ ქვეპუნქტის თანახმად, გზაზე მოძრაობისას მძღოლმა უნდა გაითვალისწინოს შემდეგი გარემოებები: ზ) წვიმიან ამინდში მოძრაობისას მძღოლმა განსაკუთრებული ყურადღება უნდა გამოიჩინოს ქვეითთა მიმართ, რადგან მათი შესაძლო სიჩქარის გამო შეიძლება შეიქმნას საფრთხის შემცველი სიტუაცია.
<<<ID=167>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-10 პუნქტის თანახმად, მწვანე, ყვითელ და წითელ მაშუქ სიგნალებს, რომლებზედაც გამოსახულია ისარი/ისრები, იგივე მნიშვნელობა აქვს, რაც შესაბამისი ფერის უისრო მაშუქ სიგნალებს, მაგრამ მათი მოქმედება ვრცელდება მხოლოდ ისრით/ისრებით მითითებული მიმართულებით/მიმართულებებით. ამასთანავე, ისარი, რომელიც მარცხნივ მოხვევის ნებას რთავს, მობრუნების უფლებასაც იძლევა, თუ ეს აკრძალული არ არის შესაბამისი საგზაო ნიშნით ან საგზაო მონიშვნით. იგივე მნიშვნელობა აქვს შუქნიშნის დამატებით სექციაში მწვანე მაშუქ სიგნალზე გამოსახულ ისარს. შუქნიშნის დამატებითი სექციის გამორთული მაშუქი სიგნალი იტყობინება, რომ ამ სექციით რეგულირებული მიმართულებით მოძრაობა აკრძალულია.
<<<ID=893>>>	„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 5-ე მუხლის მე-19 პუნქტის თანახმად, დაუტვირთავი მასა (დაუტვირთავი წონა) - ქარხანა-დამამზადებელის მიერ განსაზღვრული სატრანსპორტო საშუალების მასა მძღოლის, მგზავრებისა და ტვირთის გარეშე, მაგრამ საწვავის სრული მარაგისა და ხელსაწყოების აუცილებელი კომპლექტის ჩათვლით.
